age,position_cat,market_value,page_views,fpl_value,fpl_points,region,big_club,fpl_sel
29,3,7.0,375,5.0,79,2.0,0,1.6
27,2,7.0,564,5.0,77,1.0,0,0.2
29,3,4.5,236,5.0,74,4.0,0,0.3
27,1,10.0,472,6.0,73,1.0,0,2.9
30,2,4.0,165,4.5,54,3.0,0,0.4
28,1,3.0,454,5.0,52,2.0,0,0.2
28,1,2.5,766,5.0,52,2.0,0,0.7
18,1,1.5,169,4.5,12,1.0,0,0.2
19,2,0.25,15,4.5,9,1.0,0,0.1
34,4,1.5,100,4.0,0,2.0,0,5.3
26,3,1.0,82,4.5,0,4.0,0,1.3
29,1,8.0,1210,6.0,133,2.0,0,6.5
24,1,15.0,493,7.0,133,3.0,0,7.2
27,1,18.0,1142,7.5,132,1.0,0,0.5
29,3,10.0,338,5.0,102,4.0,0,0.4
33,3,7.0,867,5.0,98,2.0,0,2.1
27,1,18.0,845,7.0,89,4.0,0,3.4
27,2,12.0,284,5.0,79,4.0,0,0.1
30,2,7.0,425,5.5,71,1.0,0,0.1
30,4,2.5,459,4.5,69,2.0,0,0.4
33,3,2.0,187,4.5,69,2.0,0,0.9
28,1,10.0,1212,6.0,69,1.0,0,0.4
30,4,8.0,266,4.5,64,2.0,0,0.8
27,3,12.0,380,5.0,60,1.0,0,1.3
25,2,9.0,286,4.5,55,2.0,0,0.3
27,1,12.0,394,5.5,55,4.0,0,0.2
29,3,9.0,247,4.5,45,2.0,0,1.1
32,3,7.0,698,5.0,45,3.0,0,2.7
21,2,5.0,288,4.5,38,2.0,0,0.4
23,3,7.0,199,4.5,34,4.0,0,0.2
23,3,4.5,198,4.5,29,1.0,0,0.3
21,1,1.0,412,4.5,16,1.0,0,5.9
27,1,10.0,214,5.5,12,4.0,0,0.1
